Centrality,article_13,article_3,article_35,article_41,article_5,article_6,article_8,article_P1
betweenness_centrality,Doctypebranch: -0.5700 | Importance: -0.6116,Doctypebranch: -0.6486 | Importance: -0.6845,Doctypebranch: -0.5315 | Importance: -0.5258,Doctypebranch: -0.5588 | Importance: -0.5826,Doctypebranch: -0.5997 | Importance: -0.6436,Doctypebranch: -0.5821 | Importance: -0.6293,Doctypebranch: -0.5629 | Importance: -0.5461,Doctypebranch: -0.5941 | Importance: -0.6296
closeness_centrality,Doctypebranch: -0.6863 | Importance: -0.6979,Doctypebranch: -0.7015 | Importance: -0.7038,Doctypebranch: -0.5862 | Importance: -0.5811,Doctypebranch: -0.6149 | Importance: -0.6071,Doctypebranch: -0.6885 | Importance: -0.6852,Doctypebranch: -0.6516 | Importance: -0.6859,Doctypebranch: -0.6157 | Importance: -0.6229,Doctypebranch: -0.6751 | Importance: -0.6982
core_number,Doctypebranch: -0.6502 | Importance: -0.6637,Doctypebranch: -0.6047 | Importance: -0.6627,Doctypebranch: -0.7272 | Importance: -0.7095,Doctypebranch: -0.6653 | Importance: -0.6586,Doctypebranch: -0.5974 | Importance: -0.6244,Doctypebranch: -0.5327 | Importance: -0.6112,Doctypebranch: -0.6315 | Importance: -0.6571,Doctypebranch: -0.6753 | Importance: -0.7360
degree_centrality,Doctypebranch: -0.6505 | Importance: -0.6558,Doctypebranch: -0.6141 | Importance: -0.6643,Doctypebranch: -0.7305 | Importance: -0.7125,Doctypebranch: -0.6733 | Importance: -0.6691,Doctypebranch: -0.6101 | Importance: -0.6350,Doctypebranch: -0.5368 | Importance: -0.6156,Doctypebranch: -0.6478 | Importance: -0.6668,Doctypebranch: -0.6791 | Importance: -0.7384
disruption,Doctypebranch: 0.1888 | Importance: 0.2698,Doctypebranch: 0.2917 | Importance: 0.3219,Doctypebranch: 0.3087 | Importance: 0.2748,Doctypebranch: 0.3041 | Importance: 0.2523,Doctypebranch: 0.0906 | Importance: 0.1627,Doctypebranch: 0.0501 | Importance: 0.0659,Doctypebranch: 0.1742 | Importance: 0.1546,Doctypebranch: 0.2765 | Importance: 0.3059
eigenvector_centrality,Doctypebranch: -0.6895 | Importance: -0.7011,Doctypebranch: -0.7013 | Importance: -0.7047,Doctypebranch: -0.5772 | Importance: -0.5784,Doctypebranch: -0.6085 | Importance: -0.6041,Doctypebranch: -0.6891 | Importance: -0.6832,Doctypebranch: -0.6515 | Importance: -0.6863,Doctypebranch: -0.6186 | Importance: -0.6139,Doctypebranch: -0.6744 | Importance: -0.6993
harmonic_centrality,Doctypebranch: -0.6862 | Importance: -0.6980,Doctypebranch: -0.7014 | Importance: -0.7038,Doctypebranch: -0.5898 | Importance: -0.5834,Doctypebranch: -0.6184 | Importance: -0.6091,Doctypebranch: -0.6885 | Importance: -0.6854,Doctypebranch: -0.6519 | Importance: -0.6862,Doctypebranch: -0.6175 | Importance: -0.6235,Doctypebranch: -0.6754 | Importance: -0.6983
hits_authority,Doctypebranch: -0.4911 | Importance: -0.5106,Doctypebranch: -0.5339 | Importance: -0.5477,Doctypebranch: -0.6198 | Importance: -0.5974,Doctypebranch: -0.6065 | Importance: -0.5740,Doctypebranch: -0.5776 | Importance: -0.5786,Doctypebranch: -0.5041 | Importance: -0.5840,Doctypebranch: -0.5646 | Importance: -0.5814,Doctypebranch: -0.5209 | Importance: -0.5639
hits_hub,Doctypebranch: -0.3984 | Importance: -0.3950,Doctypebranch: -0.4197 | Importance: -0.4815,Doctypebranch: -0.4571 | Importance: -0.4753,Doctypebranch: -0.3812 | Importance: -0.4135,Doctypebranch: -0.2727 | Importance: -0.2947,Doctypebranch: -0.1974 | Importance: -0.2370,Doctypebranch: -0.4311 | Importance: -0.4827,Doctypebranch: -0.4765 | Importance: -0.5467
in_degree_centrality,Doctypebranch: -0.6858 | Importance: -0.7001,Doctypebranch: -0.7029 | Importance: -0.7035,Doctypebranch: -0.6436 | Importance: -0.6241,Doctypebranch: -0.6603 | Importance: -0.6317,Doctypebranch: -0.6905 | Importance: -0.6989,Doctypebranch: -0.6533 | Importance: -0.6902,Doctypebranch: -0.6487 | Importance: -0.6398,Doctypebranch: -0.6776 | Importance: -0.7011
out_degree_centrality,Doctypebranch: -0.4847 | Importance: -0.5006,Doctypebranch: -0.4620 | Importance: -0.5308,Doctypebranch: -0.5027 | Importance: -0.5149,Doctypebranch: -0.4567 | Importance: -0.4932,Doctypebranch: -0.3506 | Importance: -0.3809,Doctypebranch: -0.3558 | Importance: -0.4346,Doctypebranch: -0.4214 | Importance: -0.4535,Doctypebranch: -0.5368 | Importance: -0.6064
pagerank,Doctypebranch: -0.6823 | Importance: -0.6874,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.6270 | Importance: -0.6204,Doctypebranch: -0.6748 | Importance: -0.6965
relative_in_degree_centrality,Doctypebranch: -0.6858 | Importance: -0.7001,Doctypebranch: -0.7029 | Importance: -0.7035,Doctypebranch: -0.6436 | Importance: -0.6241,Doctypebranch: -0.6603 | Importance: -0.6317,Doctypebranch: -0.6905 | Importance: -0.6989,Doctypebranch: -0.6533 | Importance: -0.6902,Doctypebranch: -0.6487 | Importance: -0.6398,Doctypebranch: -0.6776 | Importance: -0.7011
