Centrality,article_1,article_10,article_11,article_13,article_14,article_18,article_2,article_29,article_3,article_34,article_35,article_37,article_38,article_39,article_41,article_46,article_5,article_6,article_7,article_8,article_9,article_P1,article_P4,article_P7
betweenness_centrality,Doctypebranch: -0.3297 | Importance: -0.2692,Doctypebranch: -0.3126 | Importance: -0.2639,Doctypebranch: -0.2924 | Importance: -0.2597,Doctypebranch: -0.3834 | Importance: -0.4136,Doctypebranch: -0.2355 | Importance: -0.2181,Doctypebranch: -0.0538 | Importance: 0.0564,Doctypebranch: -0.3106 | Importance: -0.3581,Doctypebranch: -0.0484 | Importance: -0.1406,Doctypebranch: -0.4260 | Importance: -0.4430,Doctypebranch: -0.3675 | Importance: -0.2768,Doctypebranch: -0.3294 | Importance: -0.2897,Doctypebranch: -0.2837 | Importance: -0.3165,Doctypebranch: -0.2207 | Importance: -0.5894,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.2520 | Importance: -0.3300,Doctypebranch: -0.4011 | Importance: -0.3404,Doctypebranch: -0.3873 | Importance: -0.3984,Doctypebranch: -0.3453 | Importance: -0.4376,Doctypebranch: -0.1936 | Importance: -0.0759,Doctypebranch: -0.3241 | Importance: -0.2807,Doctypebranch: -0.2013 | Importance: -0.2785,Doctypebranch: -0.3498 | Importance: -0.4556,Doctypebranch: -0.2759 | Importance: -0.3639,Doctypebranch: -0.3419 | Importance: -0.2608
closeness_centrality,Doctypebranch: -0.4567 | Importance: -0.3454,Doctypebranch: -0.3783 | Importance: -0.3837,Doctypebranch: -0.3936 | Importance: -0.3761,Doctypebranch: -0.4121 | Importance: -0.4741,Doctypebranch: -0.3070 | Importance: -0.3196,Doctypebranch: -0.0300 | Importance: -0.1057,Doctypebranch: -0.2904 | Importance: -0.4430,Doctypebranch: -0.1031 | Importance: -0.2510,Doctypebranch: -0.4432 | Importance: -0.5157,Doctypebranch: -0.3421 | Importance: -0.3260,Doctypebranch: -0.3280 | Importance: -0.3457,Doctypebranch: -0.3070 | Importance: -0.4747,Doctypebranch: -0.2728 | Importance: -0.6802,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.2507 | Importance: -0.3971,Doctypebranch: -0.3911 | Importance: -0.3991,Doctypebranch: -0.4363 | Importance: -0.4910,Doctypebranch: -0.3950 | Importance: -0.5248,Doctypebranch: -0.2649 | Importance: -0.2346,Doctypebranch: -0.3583 | Importance: -0.3990,Doctypebranch: -0.3849 | Importance: -0.3495,Doctypebranch: -0.4003 | Importance: -0.5289,Doctypebranch: -0.2662 | Importance: -0.4594,Doctypebranch: -0.3814 | Importance: -0.3698
core_number,Doctypebranch: -0.5529 | Importance: -0.1306,Doctypebranch: -0.3832 | Importance: -0.2201,Doctypebranch: -0.2325 | Importance: -0.1547,Doctypebranch: -0.3919 | Importance: -0.3603,Doctypebranch: -0.2165 | Importance: -0.1083,Doctypebranch: -0.0428 | Importance: 0.0892,Doctypebranch: -0.3177 | Importance: -0.3834,Doctypebranch: -0.0765 | Importance: -0.2174,Doctypebranch: -0.4252 | Importance: -0.4594,Doctypebranch: -0.4183 | Importance: -0.2105,Doctypebranch: -0.4545 | Importance: -0.3391,Doctypebranch: -0.3867 | Importance: -0.6336,Doctypebranch: -0.2852 | Importance: -0.8131,Doctypebranch: -0.4361 | Importance: -0.3843,Doctypebranch: -0.3290 | Importance: -0.3465,Doctypebranch: -0.3714 | Importance: -0.2996,Doctypebranch: -0.3845 | Importance: -0.3578,Doctypebranch: -0.3256 | Importance: -0.4334,Doctypebranch: -0.3167 | Importance: -0.0250,Doctypebranch: -0.3832 | Importance: -0.2805,Doctypebranch: -0.2715 | Importance: -0.1932,Doctypebranch: -0.3864 | Importance: -0.4987,Doctypebranch: -0.3472 | Importance: -0.3510,Doctypebranch: -0.4894 | Importance: -0.5257
degree_centrality,Doctypebranch: -0.5862 | Importance: -0.1805,Doctypebranch: -0.4132 | Importance: -0.2489,Doctypebranch: -0.2665 | Importance: -0.2085,Doctypebranch: -0.4259 | Importance: -0.3938,Doctypebranch: -0.2638 | Importance: -0.1511,Doctypebranch: -0.0641 | Importance: 0.0855,Doctypebranch: -0.3472 | Importance: -0.4203,Doctypebranch: -0.1123 | Importance: -0.2374,Doctypebranch: -0.4515 | Importance: -0.5015,Doctypebranch: -0.4510 | Importance: -0.2390,Doctypebranch: -0.4736 | Importance: -0.3648,Doctypebranch: -0.4122 | Importance: -0.6344,Doctypebranch: -0.3421 | Importance: -0.8072,Doctypebranch: -0.4361 | Importance: -0.3843,Doctypebranch: -0.3502 | Importance: -0.3749,Doctypebranch: -0.4229 | Importance: -0.3269,Doctypebranch: -0.3936 | Importance: -0.3834,Doctypebranch: -0.3353 | Importance: -0.4495,Doctypebranch: -0.3689 | Importance: -0.0748,Doctypebranch: -0.4063 | Importance: -0.3173,Doctypebranch: -0.3326 | Importance: -0.2450,Doctypebranch: -0.4029 | Importance: -0.5085,Doctypebranch: -0.3700 | Importance: -0.3921,Doctypebranch: -0.5394 | Importance: -0.5593
disruption,Doctypebranch: 0.3248 | Importance: 0.0242,Doctypebranch: 0.1994 | Importance: 0.1385,Doctypebranch: 0.0296 | Importance: 0.0302,Doctypebranch: 0.0871 | Importance: 0.1316,Doctypebranch: 0.0320 | Importance: -0.0505,Doctypebranch: -0.0224 | Importance: -0.0939,Doctypebranch: 0.1997 | Importance: 0.2866,Doctypebranch: -0.0900 | Importance: -0.2339,Doctypebranch: 0.2663 | Importance: 0.3262,Doctypebranch: 0.1188 | Importance: 0.0271,Doctypebranch: 0.1912 | Importance: 0.0673,Doctypebranch: -0.0876 | Importance: -0.0405,Doctypebranch: 0.0131 | Importance: 0.4605,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: 0.1368 | Importance: 0.0964,Doctypebranch: 0.3319 | Importance: 0.2213,Doctypebranch: 0.1835 | Importance: 0.1848,Doctypebranch: 0.0609 | Importance: 0.0176,Doctypebranch: 0.1202 | Importance: -0.0208,Doctypebranch: 0.1277 | Importance: 0.0413,Doctypebranch: 0.1697 | Importance: 0.0829,Doctypebranch: 0.1673 | Importance: 0.1637,Doctypebranch: 0.1927 | Importance: 0.0992,Doctypebranch: 0.0994 | Importance: -0.0732
eigenvector_centrality,Doctypebranch: -0.4402 | Importance: -0.3373,Doctypebranch: -0.3564 | Importance: -0.3746,Doctypebranch: -0.3947 | Importance: -0.3652,Doctypebranch: -0.4164 | Importance: -0.4797,Doctypebranch: -0.2961 | Importance: -0.3136,Doctypebranch: -0.0133 | Importance: -0.1053,Doctypebranch: -0.2765 | Importance: -0.4427,Doctypebranch: -0.0992 | Importance: -0.2526,Doctypebranch: -0.4439 | Importance: -0.5151,Doctypebranch: -0.3399 | Importance: -0.3193,Doctypebranch: -0.3114 | Importance: -0.3373,Doctypebranch: -0.3001 | Importance: -0.4750,Doctypebranch: -0.3205 | Importance: -0.6894,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.2524 | Importance: -0.3985,Doctypebranch: -0.3777 | Importance: -0.3986,Doctypebranch: -0.4346 | Importance: -0.4893,Doctypebranch: -0.3978 | Importance: -0.5276,Doctypebranch: -0.2659 | Importance: -0.2404,Doctypebranch: -0.3542 | Importance: -0.3903,Doctypebranch: -0.3631 | Importance: -0.3429,Doctypebranch: -0.4017 | Importance: -0.5244,Doctypebranch: -0.2944 | Importance: -0.4529,Doctypebranch: -0.3630 | Importance: -0.3610
harmonic_centrality,Doctypebranch: -0.4542 | Importance: -0.3464,Doctypebranch: -0.3796 | Importance: -0.3838,Doctypebranch: -0.3944 | Importance: -0.3784,Doctypebranch: -0.4125 | Importance: -0.4743,Doctypebranch: -0.3086 | Importance: -0.3195,Doctypebranch: -0.0144 | Importance: -0.0918,Doctypebranch: -0.2915 | Importance: -0.4454,Doctypebranch: -0.1031 | Importance: -0.2509,Doctypebranch: -0.4442 | Importance: -0.5162,Doctypebranch: -0.3435 | Importance: -0.3264,Doctypebranch: -0.3313 | Importance: -0.3481,Doctypebranch: -0.3072 | Importance: -0.4751,Doctypebranch: -0.2713 | Importance: -0.6808,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.2554 | Importance: -0.4006,Doctypebranch: -0.3927 | Importance: -0.3988,Doctypebranch: -0.4371 | Importance: -0.4918,Doctypebranch: -0.3958 | Importance: -0.5255,Doctypebranch: -0.2679 | Importance: -0.2380,Doctypebranch: -0.3591 | Importance: -0.3999,Doctypebranch: -0.3820 | Importance: -0.3494,Doctypebranch: -0.4007 | Importance: -0.5294,Doctypebranch: -0.2539 | Importance: -0.4509,Doctypebranch: -0.3775 | Importance: -0.3699
hits_authority,Doctypebranch: -0.3892 | Importance: -0.3135,Doctypebranch: -0.3842 | Importance: -0.3642,Doctypebranch: -0.3657 | Importance: -0.3257,Doctypebranch: -0.3532 | Importance: -0.4165,Doctypebranch: -0.2682 | Importance: -0.2332,Doctypebranch: -0.0906 | Importance: -0.0389,Doctypebranch: -0.3130 | Importance: -0.3914,Doctypebranch: 0.0656 | Importance: 0.0326,Doctypebranch: -0.4296 | Importance: -0.4920,Doctypebranch: -0.3267 | Importance: -0.3207,Doctypebranch: -0.3641 | Importance: -0.3540,Doctypebranch: -0.2203 | Importance: -0.3410,Doctypebranch: -0.2789 | Importance: -0.6438,Doctypebranch: -0.1425 | Importance: -0.0649,Doctypebranch: -0.2991 | Importance: -0.3983,Doctypebranch: -0.3665 | Importance: -0.3855,Doctypebranch: -0.4291 | Importance: -0.4371,Doctypebranch: -0.3543 | Importance: -0.4726,Doctypebranch: -0.1842 | Importance: -0.1400,Doctypebranch: -0.3911 | Importance: -0.3945,Doctypebranch: -0.2367 | Importance: -0.2465,Doctypebranch: -0.3784 | Importance: -0.4684,Doctypebranch: -0.2317 | Importance: -0.3996,Doctypebranch: -0.2851 | Importance: -0.2420
hits_hub,Doctypebranch: -0.2723 | Importance: 0.0812,Doctypebranch: -0.2190 | Importance: -0.0147,Doctypebranch: 0.3118 | Importance: 0.3757,Doctypebranch: -0.2233 | Importance: -0.1567,Doctypebranch: -0.1222 | Importance: 0.0287,Doctypebranch: -0.0155 | Importance: 0.2064,Doctypebranch: -0.1139 | Importance: -0.1672,Doctypebranch: -0.0008 | Importance: 0.1270,Doctypebranch: -0.2637 | Importance: -0.2460,Doctypebranch: -0.2519 | Importance: -0.0624,Doctypebranch: -0.2572 | Importance: -0.1451,Doctypebranch: -0.2912 | Importance: -0.4716,Doctypebranch: -0.1979 | Importance: -0.7337,Doctypebranch: -0.3208 | Importance: 0.0000,Doctypebranch: -0.1509 | Importance: -0.0731,Doctypebranch: -0.0922 | Importance: -0.1475,Doctypebranch: -0.1693 | Importance: -0.0873,Doctypebranch: -0.0390 | Importance: -0.0196,Doctypebranch: -0.1480 | Importance: 0.1657,Doctypebranch: -0.2368 | Importance: -0.1125,Doctypebranch: 0.0077 | Importance: 0.0069,Doctypebranch: -0.2190 | Importance: -0.2980,Doctypebranch: -0.1593 | Importance: -0.1030,Doctypebranch: -0.4033 | Importance: -0.3470
in_degree_centrality,Doctypebranch: -0.5065 | Importance: -0.3905,Doctypebranch: -0.4095 | Importance: -0.3986,Doctypebranch: -0.3887 | Importance: -0.3811,Doctypebranch: -0.4260 | Importance: -0.4768,Doctypebranch: -0.3009 | Importance: -0.2981,Doctypebranch: -0.1069 | Importance: -0.1340,Doctypebranch: -0.3496 | Importance: -0.4581,Doctypebranch: -0.1046 | Importance: -0.2526,Doctypebranch: -0.4641 | Importance: -0.5212,Doctypebranch: -0.3946 | Importance: -0.3294,Doctypebranch: -0.3888 | Importance: -0.3834,Doctypebranch: -0.3176 | Importance: -0.4762,Doctypebranch: -0.2873 | Importance: -0.6814,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.3219 | Importance: -0.4409,Doctypebranch: -0.4104 | Importance: -0.4080,Doctypebranch: -0.4550 | Importance: -0.5036,Doctypebranch: -0.4104 | Importance: -0.5357,Doctypebranch: -0.2980 | Importance: -0.2248,Doctypebranch: -0.3990 | Importance: -0.4120,Doctypebranch: -0.3741 | Importance: -0.3475,Doctypebranch: -0.4159 | Importance: -0.5337,Doctypebranch: -0.3051 | Importance: -0.4606,Doctypebranch: -0.3818 | Importance: -0.3710
