Correlation,Centrality,Ground Truth
0.43426134050664106,degree_centrality,importance
0.4180591111101981,degree_centrality,doctypebranch
0.3494409196902719,in_degree_centrality,importance
0.29236583049453374,in_degree_centrality,doctypebranch
0.29705438480474,out_degree_centrality,importance
0.3209787044234024,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.3494409196902719,closeness_centrality,importance
0.29236583049453374,closeness_centrality,doctypebranch
0.43426906079212535,core_number,importance
0.4180665433529194,core_number,doctypebranch
0.3494409196902719,relative_in_degree_centrality,importance
0.29236583049453374,relative_in_degree_centrality,doctypebranch
0.3494409196902719,eigenvector_centrality,importance
0.29236583049453374,eigenvector_centrality,doctypebranch
0.3496059072028825,pagerank,importance
0.2923624412238743,pagerank,doctypebranch
0.194699817677159,hits_hub,importance
0.10698978702588442,hits_hub,doctypebranch
0.046288142418958594,hits_authority,importance
0.018057125483641637,hits_authority,doctypebranch
0.3494409196902719,harmonic_centrality,importance
0.29236583049453374,harmonic_centrality,doctypebranch
0.2148647082697095,disruption,importance
0.17542356563369094,disruption,doctypebranch
0.43426134050664106,composite,importance
0.4180591111101981,composite,doctypebranch
